114: X: 0.418274, Y: 0.565736, Z: -0.710627
115: X: -0.039731, Y: 0.422020, Z: -0.905716
116: X: -0.490601, Y: 0.164231, Z: -0.855768
117: X: -0.809899, Y: -0.138437, Z: -0.569998
118: X: -0.906218, Y: -0.403103, Z: -0.127579
119: X: -0.754168, Y: -0.557852, Z: 0.346456
120: X: -0.175228, Y: -0.543194, Z: 0.821119
121: X: 0.083264, Y: -0.485369, Z: 0.870336
122: X: 0.547163, Y: -0.279920, Z: 0.788833
123: X: 0.866076, Y: -0.000161, Z: 0.499913
124: X: 0.956816, Y: 0.279668, Z: 0.079308
125: X: 0.795402, Y: 0.485268, Z: -0.363112
126: X: 0.423005, Y: 0.561732, Z: -0.711003
127: X: -0.064154, Y: 0.487893, Z: -0.870543
128: X: -0.537236, Y: 0.282318, Z: -0.794779
129: X: -0.865937, Y: -0.000242, Z: -0.500154
130: X: -0.956795, Y: -0.282675, Z: -0.068097
131: X: -0.785948, Y: -0.488017, Z: 0.379637
132: X: -0.167056, Y: -0.582479, Z: 0.795494
133: X: 0.097992, Y: -0.558168, Z: 0.823921
134: X: 0.574794, Y: -0.402235, Z: 0.712614
135: X: 0.899387, Y: -0.139721, Z: 0.414223
136: X: 0.987152, Y: 0.159632, Z: 0.006957
137: X: 0.814973, Y: 0.416391, Z: -0.403037
138: X: 0.426852, Y: 0.562237, Z: -0.708298
139: X: -0.077014, Y: 0.557702, Z: -0.826460
140: X: -0.563517, Y: 0.402702, Z: -0.721304
141: X: -0.898488, Y: 0.137923, Z: -0.416770
142: X: -0.986358, Y: -0.164590, Z: 0.002752
143: X: -0.804217, Y: -0.422136, Z: 0.418374
144: X: -0.166002, Y: -0.627306, Z: 0.760875
145: X: 0.100804, Y: -0.636027, Z: 0.765055
146: X: 0.581119, Y: -0.528325, Z: 0.619010
147: X: 0.907901, Y: -0.280917, Z: 0.311130
148: X: 0.996127, Y: 0.040345, Z: -0.078125
149: X: 0.822649, Y: 0.350252, Z: -0.447853
150: X: 0.431660, Y: 0.566643, Z: -0.701844
151: X: -0.076502, Y: 0.631599, Z: -0.771512
152: X: -0.568165, Y: 0.526315, Z: -0.632598
153: X: -0.907003, Y: 0.277324, Z: -0.316919
154: X: -0.995044, Y: -0.047953, Z: 0.087114
155: X: -0.809875, Y: -0.360066, Z: 0.463093
156: X: -0.175272, Y: -0.677122, Z: 0.714693
157: X: 0.087620, Y: -0.718582, Z: 0.689900
158: X: 0.561096, Y: -0.657178, Z: 0.503278
159: X: 0.887023, Y: -0.422571, Z: 0.186076
160: X: 0.980744, Y: -0.077364, Z: -0.179321
161: X: 0.817684, Y: 0.286953, Z: -0.499050
162: X: 0.439013, Y: 0.574245, Z: -0.691021
163: X: -0.059205, Y: 0.708393, Z: -0.703331
164: X: -0.547013, Y: 0.651950, Z: -0.525108
165: X: -0.887576, Y: 0.416718, Z: -0.196355
166: X: -0.979891, Y: 0.065735, Z: 0.188393
167: X: -0.802031, Y: -0.303119, Z: 0.514651
168: X: -0.198621, Y: -0.729423, Z: 0.654593
169: X: 0.052553, Y: -0.801920, Z: 0.595116
170: X: 0.507188, Y: -0.782169, Z: 0.361900
171: X: 0.829502, Y: -0.557347, Z: 0.035930
172: X: 0.935682, Y: -0.187532, Z: -0.298884
173: X: 0.797749, Y: 0.229477, Z: -0.557617
174: X: 0.449944, Y: 0.584358, Z: -0.675334
175: X: -0.021066, Y: 0.784261, Z: -0.620073
176: X: -0.494209, Y: 0.774034, Z: -0.395763
177: X: -0.833963, Y: 0.549478, Z: -0.050794
178: X: -0.935582, Y: 0.169746, Z: 0.309633
179: X: -0.778731, Y: -0.255570, Z: 0.572941
180: X: -0.238830, Y: -0.778920, Z: 0.579865
181: X: -0.009560, Y: -0.876759, Z: 0.480836
182: X: 0.413690, Y: -0.888870, Z: 0.196902
183: X: 0.730158, Y: -0.669507, Z: -0.136493
184: X: 0.857099, Y: -0.277064, Z: -0.434301
185: X: 0.760811, Y: 0.185184, Z: -0.621992
186: X: 0.464418, Y: 0.597121, Z: -0.654035
187: X: 0.040159, Y: 0.852615, Z: -0.520994
188: X: -0.405268, Y: 0.881354, Z: -0.242843
189: X: -0.740372, Y: 0.661013, Z: 0.122110
190: X: -0.857562, Y: 0.249905, Z: 0.449593
191: X: -0.739611, Y: -0.224966, Z: 0.634323
192: X: -0.295172, Y: -0.818627, Z: 0.492669
193: X: -0.097836, Y: -0.930454, Z: 0.353105
194: X: 0.284279, Y: -0.958554, Z: 0.018946
195: X: 0.593830, Y: -0.738653, Z: -0.318995
196: X: 0.749276, Y: -0.328602, Z: -0.574983
197: X: 0.709189, Y: 0.164592, Z: -0.685537
198: X: 0.482131, Y: 0.614041, Z: -0.624902
199: X: 0.122460, Y: 0.905515, Z: -0.406259
200: X: -0.281177, Y: 0.957348, Z: -0.066509
201: X: -0.606809, Y: 0.728620, Z: 0.317640
202: X: -0.749322, Y: 0.287834, Z: 0.596379
203: X: -0.689918, Y: -0.218814, Z: 0.690024
204: X: -0.362274, Y: -0.843175, Z: 0.397258
205: X: -0.202292, Y: -0.953841, Z: 0.221957
206: X: 0.135754, Y: -0.978415, Z: -0.155802
207: X: 0.439492, Y: -0.750812, Z: -0.493080
208: X: 0.628568, Y: -0.329940, Z: -0.704303
209: X: 0.652737, Y: 0.175465, Z: -0.736985
210: X: 0.504338, Y: 0.636337, Z: -0.583712
211: X: 0.218739, Y: 0.935404, Z: -0.277800
212: X: -0.133993, Y: 0.983162, Z: 0.124255
213: X: -0.449453, Y: 0.732348, Z: 0.511526
