114: X: 41.931953, Y: 13.791128, Z: 18.089430
115: X: 36.423649, Y: 12.065875, Z: 15.809160
116: X: 31.058657, Y: 9.012523, Z: 16.450592
117: X: 27.274521, Y: 5.449214, Z: 19.841856
118: X: 26.085199, Y: 2.330731, Z: 25.074266
119: X: 27.809366, Y: 0.492671, Z: 30.745802
120: X: 34.965240, Y: -6.650838, Z: 31.596010
121: X: 40.826805, Y: -5.764873, Z: 33.433022
122: X: 46.454285, Y: -3.334254, Z: 32.462902
123: X: 50.339794, Y: -0.010265, Z: 28.945595
124: X: 51.442215, Y: 3.316436, Z: 23.823555
125: X: 49.466156, Y: 5.754459, Z: 18.469234
126: X: 44.941097, Y: 6.650541, Z: 14.317315
127: X: 39.079533, Y: 5.764576, Z: 12.480301
128: X: 33.452049, Y: 3.333959, Z: 13.450417
129: X: 29.566544, Y: 0.009971, Z: 16.967722
130: X: 28.464119, Y: -3.316729, Z: 22.089762
131: X: 30.440174, Y: -5.754755, Z: 27.444082
132: X: 36.727470, Y: -13.791879, Z: 27.103643
133: X: 42.792820, Y: -13.736918, Z: 28.417446
134: X: 48.567764, Y: -11.906180, Z: 27.069853
135: X: 52.504906, Y: -8.790213, Z: 23.421951
136: X: 53.549297, Y: -5.223934, Z: 18.451189
137: X: 51.421093, Y: -2.162926, Z: 13.489486
138: X: 46.690544, Y: -0.427385, Z: 9.866318
139: X: 40.625195, Y: -0.482344, Z: 8.552514
140: X: 34.850254, Y: -2.313079, Z: 9.900105
141: X: 30.913113, Y: -5.429046, Z: 13.548005
142: X: 29.868719, Y: -8.995325, Z: 18.518763
143: X: 31.996918, Y: -12.056333, Z: 23.480469
144: X: 37.167313, Y: -20.408993, Z: 22.178114
145: X: 43.285419, Y: -21.186314, Z: 22.872446
146: X: 49.098232, Y: -19.939501, Z: 21.090807
147: X: 53.048210, Y: -17.002640, Z: 17.310587
148: X: 54.076958, Y: -13.162656, Z: 12.544691
149: X: 51.908833, Y: -9.448475, Z: 8.070141
150: X: 47.124771, Y: -6.855305, Z: 5.085883
151: X: 41.006668, Y: -6.077983, Z: 4.391550
152: X: 35.193859, Y: -7.324793, Z: 6.173185
153: X: 31.243877, Y: -10.261655, Z: 9.953403
154: X: 30.215122, Y: -14.101635, Z: 14.719297
155: X: 32.383247, Y: -17.815817, Z: 19.193850
156: X: 36.357426, Y: -26.041321, Z: 17.156258
157: X: 42.352451, Y: -27.646053, Z: 17.110649
158: X: 48.081985, Y: -26.963226, Z: 14.825097
159: X: 52.010803, Y: -24.175804, Z: 10.912017
160: X: 53.086189, Y: -20.030674, Z: 6.419913
161: X: 51.019985, Y: -15.638519, Z: 2.552442
162: X: 46.365833, Y: -12.176215, Z: 0.345888
163: X: 40.370811, Y: -10.571486, Z: 0.391496
164: X: 34.641277, Y: -11.254310, Z: 2.677045
165: X: 30.712456, Y: -14.041731, Z: 6.590123
166: X: 29.637072, Y: -18.186861, Z: 11.082226
167: X: 31.703270, Y: -22.579012, Z: 14.949699
168: X: 34.501957, Y: -30.425217, Z: 12.319648
169: X: 40.156952, Y: -32.809616, Z: 11.395952
